lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv,predictA
L1,6,A,1000,B,a4,r11,g4,t17,0,-1,-3,19,4,0,0,0,0,-8,-8,3,0,0,0,0,0,23,0,FALSE,FALSE,FALSE,TRUE,FALSE,ts,123,-2,-1.75,-28.25,-26.25,-26.5,-4.29,12,27.19,50.21,27.22,50.24,0,130,13,11
L3,6,A,1000,B,a4,r11,g4,t17,-1,-1,15,19,4,0,0,0,-1,1,1,9,0,0,0,0,0,23,0,FALSE,FALSE,FALSE,TRUE,FALSE,gs,189,-4.25,-4.75,-4,0.25,0.75,-0.54,5,23,45.76,23.75,46.51,4,130,23,11
L2,6,A,1000,B,a4,r11,g4,t17,0,-1,7,19,4,0,0,0,0,2,2,5,0,0,0,0,0,23,0,FALSE,FALSE,FALSE,TRUE,FALSE,ts,170,-3,-2,-2.5,0.5,-0.5,-1.53,10,22.99,45.14,23.89,46.04,0,130,8.7,11
L2,4,A,1000,B,a4,r10,g3,t12,-1,2,10,33,6,0,4,23.7,0,-7,-7,5,0,0,0,0,23.2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,ts,207,-3,-1.25,-8.75,-5.75,-7.5,-1.96,12,24.6,47.21,24.87,47.48,0,127,81,9
L3,4,A,1000,B,a4,r10,g3,t12,-1,2,6,33,6,0,4,23.7,0,-11,-11,1,0,0,0,0,23.2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,dd,227,1,0.06,-8.5,-9.5,-8.56,-2.78,12,25.01,47.21,25.16,47.36,0,127,51,9
L1,4,A,1000,B,a4,r10,g3,t12,-1,2,13,33,6,0,4,23.7,-1,-10,-10,1,0,0,0,0,23.2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,ts,115,0.06,-0.75,-15.25,-15.31,-14.5,-1.83,12,24.99,47.7,24.93,47.64,356,127,389,9
L2,7,A,1000,B,a1,r1,g2,t5,-1,-9,16,7.3,7,0,6,22.8,1,4,4,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,52,-9.5,-5,-3.75,5.75,1.25,-1.36,4,23.46,45.41,23.79,45.74,102.7,132,110,4
L3,7,A,1000,B,a1,r1,g2,t5,-1,-9,15,7.3,7,0,6,22.8,0,3,2,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,73,-9.75,-7,-5.25,4.5,1.75,-0.87,5,23.91,46.92,24.33,47.34,4.7,132,12,4
L1,7,A,1000,B,a1,r1,g2,t5,0,-9,-1,7.3,7,0,6,22.8,-1,0,-3,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,31,-3.25,-2.5,-9,-5.75,-6.5,-1.31,9,24.26,47.51,24.53,47.78,3.7,132,11,4
L1,4,A,1000,B,g1,r13,g4,t14,0,11,-1,5.1,2,0,0,0,1,-8,-8,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,th,24,-1.25,-3.5,-11,-9.75,-7.5,-3.41,14,24.1,44.49,23.77,44.16,0,131,5.8,1
