age,nameA,nameB,wdiff,ldiff,l2rwd,l2rld,l3rwd,l3rld,fd,dw,py,mtv,morn,p1,p2,pd,pf,l2p1,l2p2,l2pd,l2pf,l3p1,l3p2,l3pd,l3pf,w1btd1,w2btd1,w3btd1,w4btd1,w6btd1,wk1Bt,wk2Bt,wk3Bt,wk4Bt,wk6Bt,dc,lt,ll3,ll2,ll1,d2leng,d1leng,lbx,sr,adj1,adj8,ad1,ad8,l2adj1,l2adj8,l3adj1,l2adj8,l2itv,l2dc,l2l3,l2l2,l2l1,last2Bx,l2sk,l3dc,L3Itv,l3l3,l3l2,l3l1,last3Bx,l3sk,IWin,al,ldiv,predictA
6,蘇保羅,黃皓楠,-1,-3,-30,7,-25,15,19,4,0,NULL,NULL,0,-8,-8,34,0,2,2,56,-1,1,1,910,NULL,NULL,NULL,23,NULL,FALSE,FALSE,FALSE,TRUE,FALSE,田縮,123,-2,-1.75,-28.25,-26.25,-26.5,-4.29,12,27.19,50.21,27.22,50.24,23.89,46.04,23.75,46.04,170,田縮,-3,-2,-2.5,-1.53,10,谷縮,189,-4.25,-4.75,-4,-0.54,5,NULL,130,13,11
4,徐雨石,黃俊,2,13,-9,10,-5,6,33,6,0,4,23.7,-1,-10,-10,12,0,-7,-7,56,0,-11,-11,12,NULL,NULL,23.2,NULL,NULL,FALSE,FALSE,TRUE,FALSE,FALSE,田縮,115,0.06,-0.75,-15.25,-15.31,-14.5,-1.83,12,24.99,47.7,24.93,47.64,24.87,47.48,25.16,47.48,207,田縮,-3,-1.25,-8.75,-1.96,12,NULL,227,1,0.06,-8.5,-2.78,12,356,127,389,9
7,呂健威,何澤堯,-9,-1,-11,16,-14,15,7.3,7,0,6,22.8,-1,0,-3,56,1,4,4,1114,0,3,2,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,縮程,31,-3.25,-2.5,-9,-5.75,-6.5,-1.31,9,24.26,47.51,24.53,47.78,23.79,45.74,24.33,45.74,52,田縮,-9.5,-5,-3.75,-1.36,4,縮程,73,-9.75,-7,-5.25,-0.87,5,3.7,132,11,4
4,賀賢,潘頓,11,-1,6,13,13,13,5.1,2,0,NULL,NULL,1,-8,-8,78,-1,-5,-5,34,0,5,5,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,24,-1.25,-3.5,-11,-9.75,-7.5,-3.41,14,24.1,44.49,23.77,44.16,23.79,45.12,22.61,45.12,42,同程,-0.75,-1.25,-2.5,-2.07,11,同程,63,-5.5,-5.75,-1.75,-0.34,3,NULL,131,5.8,1
3,何良,薛恩,2,0,11,-6,6,10,11,5,0,NULL,NULL,-1,-9,-9,34,-1,-8,-8,34,2,4,4,1114,NULL,22.2,NULL,NULL,NULL,FALSE,TRUE,FALSE,FALSE,FALSE,谷縮,63,-0.25,-1.5,-15,-14.75,-13.5,-3.21,12,26.28,49.29,26.22,49.23,25.29,47.91,22.73,47.91,105,NULL,-0.25,-1,-8.5,-2.85,12,NULL,136,-3,-4.25,-4,-1.86,3,NULL,127,19,2
5,文家良,周俊樂,3,-10,18,-11,14,-14,4.7,1,0,NULL,NULL,0,1,1,34,0,-4,-4,12,-1,-2,-2,34,NULL,NULL,NULL,NULL,22.7,FALSE,FALSE,FALSE,FALSE,TRUE,普通,24,-0.5,-2.75,-5.5,-5,-2.75,-2.65,7,22.83,43.22,22.74,43.13,23.5,45.2,23.29,45.2,133,同程,0.5,1.25,-2.5,-2.13,10,谷縮,161,-1,-3,-3.5,-0.78,7,6.3,114,11,5
4,丁冠豪,史卓豐,6,1,1,-1,1,-5,9.7,3,0,NULL,NULL,0,-3,-3,12,0,-6,-6,12,0,-7,-7,34,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,14,0.06,1,-3.5,-3.56,-4.5,-2.21,10,24.79,47.16,24.61,46.98,25.39,47.71,24.7,47.71,38,田縮,1.25,1.5,-4.75,-3.1,9,NULL,73,-1.25,-4,-10,-2.21,11,NULL,121,6,7
7,約翰摩亞,波健士,6,0,8,-2,18,-3,4.5,9,0,NULL,NULL,0,-2,-2,12,0,-2,-2,34,0,0,-4,12,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,谷縮,7,-0.06,-0.5,-1,-0.94,-0.5,-0.69,10,24.05,47.23,23.87,47.05,23.19,43.46,24.04,43.46,24,NULL,-0.5,-2,-6.25,-2.98,13,縮程,45,-0.75,-0.75,-1.25,-0.82,10,NULL,121,5.9,8
7,鄭俊偉,梁家俊,9,0,4,3,5,2,30,11,0,NULL,NULL,-1,-3,-3,910,0,1,1,34,0,3,3,910,NULL,NULL,NULL,23,NULL,FALSE,FALSE,FALSE,TRUE,FALSE,谷縮,63,-2.75,-5,-11.5,-8.75,-6.5,-1.04,12,24.77,48.23,24.5,47.96,23.16,45.97,23.25,45.97,84,谷縮,-2,-1.75,-0.06,-0.26,3,同程,133,-4.75,-4.25,-2.75,-1.57,3,NULL,120,18,3
5,葉楚航,陳嘉熙,-7,1,-11,-8,-11,-9,25,10,0,NULL,NULL,0,0,0,12,0,-2,-2,78,5,0,0,56,NULL,NULL,NULL,NULL,22.7,FALSE,FALSE,FALSE,FALSE,TRUE,普通,24,-0.5,-1,-5,-4.5,-4,-3.13,11,23.06,43.17,23.27,43.38,24.39,47.16,23.22,47.16,63,谷縮,-4,-3.75,-7.25,-1.86,9,NULL,94,-1,-1,-2,-2.35,6,NULL,111,10,6
4,苗禮德,田泰安,1,5,-35,2,-10,3,12,8,0,3,22.1,0,4,4,78,0,2,2,1114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,24,-1.75,-4.5,-6,-4.25,-1.5,-2.34,4,22.99,43.46,22.96,43.43,24.17,46.78,24.43,46.78,63,谷縮,-8.75,-7.5,-7.75,-1.5,6,田縮,158,-7.25,-6,-10.75,0.06,14,30,113,42,10
5,霍利時,黎海榮,8,0,37,2,30,-1,43,12,0,NULL,NULL,-1,1,1,1114,0,-1,-9,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.1,FALSE,FALSE,FALSE,FALSE,TRUE,普通,24,-3.5,-7,-10.75,-7.25,-3.75,-2.58,8,23.41,44,23.17,43.76,25.76,50.44,24.84,50.44,210,縮程,-0.5,-1.5,-15,-1.02,12,田縮,249,-1.25,-1,-9,-0.4,13,80,113,123,12
5,霍利時,潘頓,-5,-1,15,0,21,-1,6.1,8,0,NULL,NULL,0,1,1,34,1,2,2,78,0,6,6,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,14,-2.5,-2.25,-1.75,0.75,0.5,-1.12,7,23.04,45.14,23.19,45.29,22.98,45.84,22.38,45.84,35,同程,-5.75,-6,-0.75,-0.12,3,同程,63,-4.25,-4.25,-2,0.94,1,NULL,132,4,3
7,何良,巫顯東,-12,-2,-7,15,-16,13,21,10,0,NULL,NULL,0,-9,-9,12,0,-9,-9,12,0,-8,-8,12,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,35,-0.25,-0.75,-11,-10.75,-10.25,-2.35,10,24.8,47.67,25.16,48.03,24.35,47.05,24.03,47.05,77,同程,0.5,0.5,-5,-1.2,10,同程,91,-0.5,-2,-4.5,-0.89,12,NULL,127,42,10
4,告東尼,何澤堯,-14,-3,-11,-1,-25,1,4.4,6,0,NULL,NULL,0,0,-2,34,1,-1,-1,56,-1,5,5,78,NULL,NULL,NULL,23.8,NULL,FALSE,FALSE,FALSE,TRUE,FALSE,縮程,10,-1.75,-1.25,-4.75,-3,-3.5,-0.07,6,22.69,45.82,23.11,46.24,22.54,45.26,23.19,45.26,164,NULL,-2,-2.5,-1.25,0.15,6,NULL,178,-2.25,-3,-0.06,-0.83,4,NULL,128,9.3,1
