lr,ag,lc,dc,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc1,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv
L1,6,B,1800,B,g1,r14,g1,t1,0,31,4,5.4,3,0,0,0,1,0,7,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,96,-4.75,-3.5,-1.25,3.5,2.25,1.31,1,22.31,45.23,21.69,44.61,0,130,6.4
L2,6,B,1800,B,g1,r14,g1,t1,0,31,2,5.4,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,130,-8.75,-7.75,-1.5,7.25,6.25,0.15,1,23.31,46.43,23.01,46.13,0,130,8.5
L3,6,B,1800,B,g1,r14,g1,t1,0,31,8,5.4,3,0,0,0,-1,0,4,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,162,-4.75,-3.5,1,5.75,4.5,-0.85,2,25.19,48.89,24.71,48.41,4.6,130,10
L3,6,B,1800,B,g2,r16,g4,t14,0,-24,12,8.4,1,0,0,0,-2,1,3,5,0,4,0,23.6,0,0,22.9,FALSE,TRUE,FALSE,FALSE,TRUE,ts,193,-1.75,-1.25,0.75,2.5,2,0.79,3,22.74,46.59,23.3,47.15,0,125,8
L2,6,B,1800,B,g2,r16,g4,t14,0,-24,3,8.4,1,0,0,0,0,1,-1,3,0,4,0,23.6,0,0,22.9,FALSE,TRUE,FALSE,FALSE,TRUE,gs,162,-2.25,-1.75,-1.25,1,0.5,-1.21,3,24.83,48.65,25.09,48.91,0,125,4.6
L1,6,B,1800,B,g2,r16,g4,t14,0,-24,1,8.4,1,0,0,0,-1,0,-3,3,0,4,0,23.6,0,0,22.9,FALSE,TRUE,FALSE,FALSE,TRUE,ts,151,-1.75,-2.25,-15,-13.25,-12.75,-0.78,9,24.41,48.5,24.89,48.98,0,125,3.7
L1,6,B,1800,B,g4,r29,g4,t15,0,1,0,15,5,0,0,0,0,-1,0,7,0,0,0,0,0,0,22.6,FALSE,FALSE,FALSE,FALSE,TRUE,gz,22,-3.75,-3.75,-3.5,0.25,0.25,0.84,6,23.38,47.58,23.36,47.56,27,123,42
L2,6,B,1800,B,g4,r29,g4,t15,0,1,-1,15,5,0,0,0,0,0,0,5,0,0,0,0,0,0,22.6,FALSE,FALSE,FALSE,FALSE,TRUE,dd,85,-1.5,-2.25,-7.5,-6,-5.25,0.88,9,24.26,49.7,24.54,49.98,16,123,31
L3,6,B,1800,B,g4,r29,g4,t15,0,1,1,15,5,0,0,0,-1,0,1,9,0,0,0,0,0,0,22.6,FALSE,FALSE,FALSE,FALSE,TRUE,gz,99,-7.75,-5.25,-6.25,1.5,-1,0.86,7,22.7,46.62,23.08,47,8,123,23
L2,6,B,1800,B,a1,r1,g1,t1,0,3,7,4.2,8,0,0,0,0,0,0,5,0,3,0,23.6,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,109,-2.5,-0.75,-1.25,1.25,-0.5,0.65,2,22.75,46.15,22.89,46.29,0,123,5.8
L3,6,B,1800,B,a1,r1,g1,t1,0,3,10,4.2,8,0,0,0,0,0,0,5,0,3,0,23.6,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,130,-2.25,-2.25,-0.5,1.75,1.75,-0.45,6,23.85,47.13,23.93,47.21,0,123,8.9
L1,6,B,1800,B,a1,r1,g1,t1,0,3,6,4.2,8,0,0,0,0,0,-3,3,0,3,0,23.6,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ts,96,-1,-1.75,-4.25,-3.25,-2.5,0.83,9,22.59,45.83,22.53,45.77,6.8,123,11
L3,6,B,1800,B,g1,r13,g2,t8,0,-3,-1,3,4,0,0,0,0,0,0,5,5,0,23.1,0,0,23,0,TRUE,FALSE,FALSE,TRUE,FALSE,dd,141,-7,-5.25,-3.5,3.5,1.75,0.56,3,23.69,47.96,23.69,47.96,15,123,18
