lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv,predictA,rx
L1,5,B,1200,A,g3,r24,g4,t16,0,25,-1,23,10,0,0,0,-1,-3,-3,3,0,5,0,22.5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,88,-1.5,-1.75,-8.5,-7,-6.75,-1.83,9,25.38,48.21,24.63,47.46,0,124,15,13,5
L3,3,B,1400,A,g3,r24,g2,t8,0,32,-4,62,3,0,0,0,0,0,0,1,8,0,22.7,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,tz,147,-0.25,-0.25,-2.25,-2,-2,-2.67,3,24.58,45.87,23.86,45.15,0,125,2.2,14,5
L1,5,B,1000,A,g4,r30,g1,t23,0,-16,-2,9.5,11,1,0,0,0,4,4,7,2,0,22.2,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,ts,56,-4,-3.25,-1,3,2.25,-0.2,2,22.08,44.5,22.56,44.98,34.5,131,44,11,5
L1,4,B,1400,A,g4,r30,g1,t23,0,13,-7,42,9,0,0,0,-1,0,0,7,6,0,23.9,0,22.8,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,tz,67,-2.75,-3,-11,-8.25,-8,-2.41,8,24.41,46.26,24.09,45.94,85,123,127,13,5
L1,6,B,1200,A,g1,r13,g4,t15,0,-4,2,4.6,11,1,3,22.2,3,6,6,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,71,-6.75,-4,-0.75,6,3.25,-0.36,1,22.06,43.82,22.18,43.94,0,130,4.5,1,1
L1,4,B,1200,A,a4,r3,g5,t22,0,39,-2,46,11,0,0,0,-1,-5,-5,1,0,2,0,22.5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,63,0.25,-0.5,-3.5,-3.75,-3,-0.53,8,24.42,47.2,23.25,46.03,0,121,32,12,5
L3,4,B,1400,A,a4,r12,g2,t9,0,13,-14,301,9,0,0,0,-1,-3,-3,9,0,5,0,23,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,gz,88,-3.75,-4.5,-10.5,-6.75,-6,-1.24,11,24.11,47.05,23.83,46.77,0,115,43,12,5
L3,5,B,1000,A,a4,r9,g2,t7,0,4,-5,11,9,1,0,0,1,-1,-1,3,0,0,0,0,23,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,dd,151,-1.25,-1.25,-2.25,-1,-1,-1.31,8,23.02,44.52,22.66,44.16,0,125,7,2,1
L1,6,B,1200,A,g4,r29,g3,t10,1,28,-15,19,9,0,0,0,0,-8,-8,1,0,1,0,22.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,109,-0.75,-0.5,-7.5,-6.75,-7,-2.54,11,25.01,47.09,24.17,46.25,0,118,3.3,9,4
L1,4,B,1400,A,a3,r5,g5,t21,1,1,-15,99,12,0,0,0,-1,0,-2,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,71,-5,-7.25,-8.25,-3.25,-1,0.4,7,22.92,46.59,22.9,46.57,0,118,9,5,3
L1,5,B,1200,A,g1,r14,g2,t8,0,4,-2,12,4,0,6,23.6,0,3,3,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,53,-5.5,-4.25,-1.75,3.75,2.5,-0.14,4,22.9,45.6,22.78,45.48,0,119,12,7,4
L1,4,B,1200,A,a4,r3,g5,t21,0,15,-8,130,10,1,0,0,-1,-3,-7,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,165,-0.5,-4.25,-19.75,-19.25,-15.5,-1.56,12,26.91,52.05,26.46,51.6,0,111,69,10,5
L3,4,B,1400,A,a2,r4,g5,t19,0,-11,-7,280,2,0,0,0,-3,-1,-1,7,0,9,0,22.5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tz,154,-1.5,-2.5,-5.5,-4,-3,-2.3,9,23.77,44.79,23.15,44.17,-83,118,197,10,5
L3,6,B,1200,A,a1,r1,g2,t6,-1,-46,-1,11,4,0,0,0,-1,0,-3,3,6,0,22.4,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,ss,133,-2.5,-1.5,-8.5,-6,-7,-0.07,7,21.88,45.04,23.2,46.36,59,125,70,7,4
L1,5,B,1200,A,a2,r7,g1,t3,1,-3,-15,13,1,0,0,0,-1,5,5,7,0,7,0,22.4,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,53,-3.5,-5.25,-1.5,2,3.75,-1.06,5,22.53,44.54,22.62,44.63,0,118,13,11,5
L2,7,B,1200,A,g2,r16,g4,t16,0,0,-6,22,9,0,0,0,-1,-3,-3,5,0,4,0,22.5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,137,-2,-2.25,-3.75,-1.75,-1.5,-0.71,9,23,45.89,23.42,46.31,0,122,16,6,3
L2,6,B,1200,A,g4,r29,g3,t10,1,28,-9,19,9,0,0,0,0,1,1,1,0,1,0,22.3,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,172,-0.5,-0.5,0.75,1.25,1.25,-0.43,7,23.55,46.31,22.92,45.68,0,118,2.8,9,4
L2,3,B,1400,A,g3,r24,g2,t8,0,32,-4,62,3,0,0,0,1,-1,-1,1,8,0,22.7,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,tz,126,-0.06,0.5,-0.5,-0.44,-1,-1.19,2,22.66,43.56,21.99,42.89,0,125,1.7,14,5
L2,7,B,1200,A,a4,r10,g3,t12,0,-16,-10,85,13,0,0,0,-1,-2,-2,7,0,8,0,22.5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,91,-3.5,-5,-6.25,-2.75,-1.25,-1.72,8,23.51,45.96,23.87,46.32,0,117,24,14,5
L2,5,B,1000,A,g1,r14,g2,t8,0,9,-5,8.5,5,1,0,0,-1,-1,-1,3,10,0,22.2,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,ts,71,-1.5,-2.5,-3.5,-2,-1,-0.62,6,23.27,45.47,22.67,44.87,0,121,8,3,2
L1,5,B,1200,A,g4,r29,g4,t15,0,2,-2,42,2,0,7,23.6,0,9,9,11,0,0,0,0,22.9,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,63,-4.25,-4.25,-1.75,2.5,2.5,0.28,1,22.42,45.12,22.36,45.06,147,114,189,5,3
L3,5,B,1200,A,g3,r24,g1,t2,0,13,-5,8.4,6,1,0,0,0,0,-3,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,98,0.75,1,-2.75,-3.5,-3.75,-0.16,7,23.98,47.41,23.44,46.87,26.6,120,35,9,4
L3,5,B,1400,A,a2,r4,g4,t16,0,16,3,30,11,0,10,22.8,-1,0,9,11,0,0,0,0,22.8,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,147,-8.25,-6,-1.75,6.5,4.25,-0.02,1,23.41,46.28,22.96,45.83,0,125,5.3,8,4
L1,5,B,1200,A,g3,r24,g1,t2,0,13,1,8.4,6,1,0,0,-1,0,-2,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,56,-0.5,-0.25,-1.25,-0.75,-1,-0.47,8,24.22,47.55,23.83,47.16,14.6,120,23,9,4
L3,4,B,1200,A,a1,r1,g2,t5,0,-7,0,82,12,0,0,0,0,0,0,5,0,3,0,22.8,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,4,2
L1,4,B,1000,A,a1,r1,g3,t11,0,9,1,5.8,8,1,0,0,0,1,1,5,0,0,0,0,22.2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,tc,63,-1.25,-1.5,-5.25,-4,-3.75,-2.13,3,22.69,42.95,22.42,42.68,0,131,8.5,4,2
