,lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv,predictA
0,L3,4,B,1200,B,a2,r4,g3,t10,0,-5,0,1.7,2,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,127,0.0,A
1,L2,4,B,1200,B,a2,r4,g3,t10,0,-5,0,1.7,2,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,127,0.0,A
2,L1,4,B,1200,B,a2,r4,g3,t10,0,-5,2,1.7,2,0,0,0.0,3,1,1,5,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,tz,25,-1.0,-1.25,-0.5,0.5,0.75,-1.81,3,22.26,42.8,22.41,42.95,18.3,127,20.0,A
3,L1,5,B,1200,B,g4,r30,g1,t23,0,10,-3,9.6,9,0,0,0.0,0,-5,-5,1,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,dd,15,-0.75,-0.5,-4.25,-3.5,-3.75,-0.21,12,23.48,46.54,23.18,46.24,1.4,126,11.0,B
4,L3,5,B,1200,B,g4,r30,g1,t23,0,10,1,9.6,9,0,0,0.0,0,-1,-1,1,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,dd,99,1.75,1.5,-0.12,-1.87,-1.62,-0.1,10,22.59,45.71,23.25,46.37,0.0,126,3.9,B
5,L2,5,B,1200,B,g4,r30,g1,t23,0,10,-2,9.6,9,0,0,0.0,0,-3,-3,1,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,dd,85,-0.5,-0.5,-1.75,-1.25,-1.25,-2.18,9,24.43,46.8,24.49,46.86,0.0,126,2.3,B
6,L2,4,B,1200,B,a1,r1,g1,t2,0,-4,-2,5.4,8,0,10,23.5,-1,-6,-6,3,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,92,-1.25,-1.5,-5.5,-4.25,-4.0,-1.79,12,23.88,46.06,23.91,46.09,11.6,126,17.0,C
7,L3,4,B,1200,B,a1,r1,g1,t2,0,-4,-7,5.4,8,0,10,23.5,1,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,dd,113,-5.0,-4.0,-5.25,-0.25,-1.25,-0.8,6,23.25,45.91,23.25,45.91,7.6,126,13.0,A
8,L1,4,B,1200,B,a1,r1,g1,t2,0,-4,0,5.4,8,0,10,23.5,-3,2,2,7,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tz,25,-1.0,-2.25,-2.75,-1.75,-0.5,-1.86,5,22.44,43.14,22.56,43.26,31.6,126,37.0,C
9,L3,4,B,1200,B,g1,r14,g3,t13,0,0,0,46.0,7,0,0,0.0,0,0,0,5,0,0,0.0,0.0,22.3,0.0,22.8,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,B
10,L2,4,B,1200,B,g1,r14,g3,t13,0,0,0,46.0,7,0,0,0.0,0,0,0,5,0,0,0.0,0.0,22.3,0.0,22.8,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,B
11,L1,4,B,1200,B,g1,r14,g3,t13,0,0,0,46.0,7,0,0,0.0,0,0,0,5,0,0,0.0,0.0,22.3,0.0,22.8,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,B
12,L2,4,B,1200,B,g1,r15,g1,t3,0,0,0,6.4,4,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,21.9,False,False,False,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,A
13,L3,4,B,1200,B,g1,r15,g1,t3,0,0,0,6.4,4,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,21.9,False,False,False,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,A
14,L1,4,B,1200,B,g1,r15,g1,t3,0,0,0,6.4,4,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,21.9,False,False,False,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,A
15,L3,4,B,1200,B,g1,r13,g3,t11,0,0,0,34.0,6,0,7,21.6,0,0,0,5,0,0,0.0,0.0,22.8,0.0,22.7,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,A
16,L1,4,B,1200,B,g1,r13,g3,t11,0,0,0,34.0,6,0,7,21.6,0,0,0,5,0,0,0.0,0.0,22.8,0.0,22.7,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,A
17,L2,4,B,1200,B,g1,r13,g3,t11,0,0,0,34.0,6,0,7,21.6,0,0,0,5,0,0,0.0,0.0,22.8,0.0,22.7,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,A
18,L1,7,B,1200,B,g2,r17,g3,t12,0,5,3,20.0,3,0,0,0.0,-1,0,0,11,0,0,0.0,0.0,0.0,0.0,22.5,False,False,False,False,True,tc,25,-8.0,-8.0,-10.5,-2.5,-2.5,-1.06,10,23.81,46.32,23.66,46.17,65.0,120,85.0,C
19,L2,7,B,1200,B,g2,r17,g3,t12,0,5,-4,20.0,3,0,0,0.0,-2,-3,0,9,0,0,0.0,0.0,0.0,0.0,22.5,False,False,False,False,True,ss,88,-4.75,-4.75,-11.5,-6.75,-6.75,-0.51,10,23.27,46.48,23.6,46.81,31.0,120,51.0,C
20,L3,7,B,1200,B,g2,r17,g3,t12,0,5,-7,20.0,3,0,0,0.0,-1,-2,-2,7,0,0,0.0,0.0,0.0,0.0,22.5,False,False,False,False,True,tc,116,-3.5,-5.0,-6.25,-2.75,-1.25,-1.72,8,23.75,46.2,23.96,46.41,0.0,120,24.0,C
21,L1,6,B,1200,B,g2,r16,g5,t19,0,15,-4,12.0,1,0,0,0.0,0,-10,-10,1,0,0,0.0,0.0,22.8,0.0,0.0,False,False,True,False,False,dd,134,-0.5,-0.75,-12.5,-12.0,-11.75,-1.61,12,25.35,48.76,24.9,48.31,0.0,119,4.6,B
22,L2,6,B,1200,B,g2,r16,g5,t19,0,15,-4,12.0,1,0,0,0.0,-1,-1,-1,3,0,0,0.0,0.0,22.8,0.0,0.0,False,False,True,False,False,dd,162,-0.5,-1.0,-1.0,-0.5,0.0,-0.92,10,24.37,47.31,23.74,46.68,0.0,119,14.0,A
23,L3,6,B,1200,B,g2,r16,g5,t19,0,15,-1,12.0,1,0,0,0.0,-1,-7,-7,1,0,0,0.0,0.0,22.8,0.0,0.0,False,False,True,False,False,dd,309,0.06,-0.75,-4.75,-4.81,-4.0,-1.5,11,24.69,47.43,24.21,46.95,13.0,119,25.0,B
24,L3,4,B,1200,B,a4,r3,g5,t21,0,6,-10,40.0,5,0,0,0.0,3,-1,-1,7,0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,dd,253,-4.75,-5.75,-5.0,-0.25,0.75,-1.04,6,23.47,46.02,23.29,45.84,0.0,115,45.0,E
25,L2,4,B,1200,B,a4,r3,g5,t21,0,6,-10,40.0,5,0,0,0.0,-3,-1,-1,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,tc,228,-2.5,-3.75,-6.0,-3.5,-2.25,-0.53,9,23.69,46.7,23.24,46.25,0.0,115,83.0,E
26,L1,4,B,1200,B,a4,r3,g5,t21,0,6,-8,40.0,5,0,0,0.0,-1,-2,-2,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,dd,99,-6.5,-6.5,-15.25,-8.75,-8.75,-1.48,12,24.54,47.66,24.36,47.48,0.0,115,34.0,E
27,L3,6,B,1200,B,g4,r30,g1,t23,0,5,5,14.0,1,0,6,22.4,1,2,2,5,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,dd,99,-5.25,-3.5,-0.25,5.0,3.25,0.16,4,22.74,45.58,22.83,45.67,0.0,131,7.1,A
28,L2,6,B,1200,B,g4,r30,g1,t23,0,5,0,14.0,1,0,6,22.4,-1,2,2,7,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,dd,85,-3.0,-3.75,-2.75,0.25,1.0,0.04,3,22.95,46.0,23.01,46.06,0.0,131,2.7,A
29,L1,6,B,1200,B,g4,r30,g1,t23,0,5,4,14.0,1,0,6,22.4,0,0,0,5,0,0,0.0,0.0,0.0,0.0,22.2,False,False,False,False,True,dd,22,-2.25,-2.0,-1.5,0.75,0.5,-0.64,8,23.6,46.29,23.45,46.14,0.0,131,13.0,A
30,L1,4,B,1200,B,g2,r17,g1,t2,0,4,3,10.0,2,0,0,0.0,0,4,4,5,0,0,0.0,0.0,0.0,0.0,22.5,False,False,False,False,True,dd,15,-2.75,-4.25,-2.75,0.0,1.5,-0.35,3,23.37,46.18,23.25,46.06,0.0,130,13.0,C
31,L3,4,B,1200,B,g2,r17,g1,t2,0,4,3,10.0,2,0,0,0.0,0,5,5,11,0,0,0.0,0.0,0.0,0.0,22.5,False,False,False,False,True,tc,116,-8.5,-8.75,-11.25,-2.75,-2.5,-0.48,2,23.31,46.08,23.34,46.11,0.0,130,11.0,C
