,ag,lc,dt,cc,wd,ld,fd,dw,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv,L3_lr,L2_lr,A_cr,C+3_cr,C_cr,B_cr,A+3_cr,g1_rg,a4_rg,g2_rg,a2_rg,a3_rg,g3_rg,g4_rg,a1_rg,f3_rg,f1_rg,f4_rg,g2_tg,g1_tg,g3_tg,g5_tg,g4_tg,r14_rc,r15_rc,r13_rc,r1_rc,r6_rc,r4_rc,r7_rc,r17_rc,r18_rc,r30_rc,r5_rc,r11_rc,r3_rc,r12_rc,r9_rc,r8_rc,r19_rc,r29_rc,r16_rc,r24_rc,r23_rc,r10_rc,r45_rc,r2_rc,r21_rc,r22_rc,r28_rc,r27_rc,r33_rc,r50_rc,r34_rc,r20_rc,r48_rc,r41_rc,r36_rc,r46_rc,r35_rc,r44_rc,r32_rc,r40_rc,t3_tc,t12_tc,t1_tc,t7_tc,t4_tc,t13_tc,t8_tc,t15_tc,t5_tc,t10_tc,t19_tc,t2_tc,t6_tc,t9_tc,t11_tc,t14_tc,t22_tc,t20_tc,t18_tc,t21_tc,t16_tc,t17_tc,tc_dc,dd_dc,ss_dc,tz_dc,gs_dc,gz_dc,ts_dc,th_dc,predictA
0,4,1,1200,0,-5,0,1.7,2,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,22.2,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,127,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C
1,4,1,1200,0,-5,0,1.7,2,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,22.2,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,127,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C
2,4,1,1200,0,-5,2,1.7,2,0,0.0,3,1,1,5,0,0,0.0,0.0,0.0,0.0,22.2,1,1,1,1,1,25,-1.0,-1.25,-0.5,0.5,0.75,-1.81,3,22.26,42.8,22.41,42.95,18.3,127,20.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C
3,5,1,1200,0,10,-3,9.6,9,0,0.0,0,-5,-5,1,0,0,0.0,0.0,0.0,22.8,0.0,1,1,1,1,1,15,-0.75,-0.5,-4.25,-3.5,-3.75,-0.21,12,23.48,46.54,23.18,46.24,1.4,126,11.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C
4,5,1,1200,0,10,1,9.6,9,0,0.0,0,-1,-1,1,0,0,0.0,0.0,0.0,22.8,0.0,1,1,1,1,1,99,1.75,1.5,-0.12,-1.87,-1.62,-0.1,10,22.59,45.71,23.25,46.37,0.0,126,3.9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A
5,5,1,1200,0,10,-2,9.6,9,0,0.0,0,-3,-3,1,0,0,0.0,0.0,0.0,22.8,0.0,1,1,1,1,1,85,-0.5,-0.5,-1.75,-1.25,-1.25,-2.18,9,24.43,46.8,24.49,46.86,0.0,126,2.3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C
6,4,1,1200,0,-4,-2,5.4,8,10,23.5,-1,-6,-6,3,0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,92,-1.25,-1.5,-5.5,-4.25,-4.0,-1.79,12,23.88,46.06,23.91,46.09,11.6,126,17.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A
7,4,1,1200,0,-4,-7,5.4,8,10,23.5,1,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,113,-5.0,-4.0,-5.25,-0.25,-1.25,-0.8,6,23.25,45.91,23.25,45.91,7.6,126,13.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A
8,4,1,1200,0,-4,0,5.4,8,10,23.5,-3,2,2,7,0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,25,-1.0,-2.25,-2.75,-1.75,-0.5,-1.86,5,22.44,43.14,22.56,43.26,31.6,126,37.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C
9,4,1,1200,0,0,0,46.0,7,0,0.0,0,0,0,5,0,0,0.0,0.0,22.3,0.0,22.8,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,B
